"","word","freq.x","freq.y","percent.x","percent.y","keyness","p.value","log.ratio","x.vs.y"
"3675","she",53,1352,0.0905595899188381,0.617653374022925,354.245571555324,0.000000000000000000000000000000000000000000000000000000000000000000000000000000504222159122067,2.76985809699387,"x<y"
"4106","they",334,2996,0.57069628363947,1.36870525782003,289.770633560829,0.0000000000000000000000000000000000000000000000000000000000000000557870315239825,1.26201673125958,"x<y"
"1915","hillary",2,627,0.00341734301580521,0.286441320645247,276.352444839503,0.0000000000000000000000000000000000000000000000000000000000000468252305242951,6.38922074807692,"x<y"
"729","clinton",4,643,0.00683468603161042,0.293750828030133,268.492821568199,0.00000000000000000000000000000000000000000000000000000000000241766190517716,5.42557404260283,"x<y"
"1923","his",174,146,0.297308842375053,0.0666992548870909,169.538952301355,0.00000000000000000000000000000000000000932963569006472,2.15621982169383,"x>y"
"4350","very",56,881,0.0956856044425459,0.402479750380323,167.646902533413,0.0000000000000000000000000000000000000241616708919643,2.07254240213769,"x<y"
"3277","re",296,2282,0.505766766339171,1.04251849076946,164.635680936437,0.000000000000000000000000000000000000109874065788454,1.04352882593461,"x<y"
"4515","work",183,179,0.312686885946177,0.0817751138684197,152.553134157776,0.000000000000000000000000000000000047966240860056,1.93498494574491,"x>y"
"2162","it",669,4060,1.14310123878684,1.85478749891499,150.739014304234,0.000000000000000000000000000000000119517459508727,0.698300726705958,"x<y"
"1746","going",323,2348,0.551900897052542,1.07267020873212,147.92947249344,0.000000000000000000000000000000000491527832524059,0.958725453691007,"x<y"
"1860","he",506,976,0.864587782998718,0.445879950478087,134.427721143155,0.00000000000000000000000000000044046782059347,0.955357121856544,"x>y"
"2778","ok",5,325,0.00854335753951303,0.148474368755511,117.752848752064,0.00000000000000000000000000196397136239226,4.11926692830333,"x<y"
"4552","young",81,40,0.138402392140111,0.0182737684622167,117.468760462653,0.00000000000000000000000000226641843934029,2.92102279272238,"x>y"
"4154","together",123,106,0.210166595472021,0.0484254864248743,116.827103417193,0.00000000000000000000000000313216080503607,2.11769493550116,"x>y"
"763","college",56,13,0.0956856044425459,0.00593897475022043,113.661871224372,0.000000000000000000000000015453633054225,4.01001608864163,"x>y"
"4234","trump",210,288,0.358821016659547,0.13157113292796,111.921506627752,0.0000000000000000000000000371740306335166,1.44742140094893,"x>y"
"1300","economy",85,49,0.145237078171721,0.0223853663662155,111.780523212947,0.0000000000000000000000000399137771488837,2.69778197674761,"x>y"
"2653","my",258,411,0.440837249038872,0.187762970949277,105.571154657884,0.00000000000000000000000091550739236083,1.23133355646669,"x>y"
"1892","her",32,531,0.0546774882528834,0.242584276335927,105.552866313335,0.000000000000000000000000923995929445982,2.14946716607903,"x<y"
"1886","help",103,83,0.175993165313968,0.0379180695590996,104.187087362426,0.00000000000000000000000184086408508208,2.21456198056141,"x>y"
"3546","s",612,3431,1.04570696283639,1.56743248984664,93.3097492390398,0.000000000000000000000447183928404938,0.583924683139883,"x<y"
"258","as",315,585,0.538231524989321,0.267253863759919,92.1435901966082,0.000000000000000000000806100875997284,1.01001608864163,"x>y"
"1526","families",75,50,0.128150363092695,0.0228422105777709,88.8520271525062,0.00000000000000000000425477355960137,2.48806338544628,"x>y"
"4472","who",303,577,0.51772746689449,0.263599110067476,83.2202479720359,0.0000000000000000000734020016441058,0.973847359552588,"x>y"
"329","bad",6,256,0.0102520290474156,0.116952118158187,82.8067942572908,0.0000000000000000000904784476033098,3.51193661455372,"x<y"
"1867","health",56,27,0.0956856044425459,0.0123347937119963,82.3619217409835,0.000000000000000000113315932902444,2.95556830461926,"x>y"
"1623","folks",8,274,0.0136693720632208,0.125175313966184,81.9712387556809,0.000000000000000000138081492149332,3.19493119823541,"x<y"
"1840","hard",96,96,0.16403246475865,0.0438570443093201,78.0901224201601,0.000000000000000000984449969780424,1.90310088472512,"x>y"
"4152","to",2242,6741,3.83084152071764,3.07958683009507,77.2158133991678,0.00000000000000000153261512093488,0.314924537629483,"x>y"
"1236","donald",100,106,0.170867150790261,0.0484254864248743,76.0442017699866,0.00000000000000000277385607635786,1.81903661993665,"x>y"
